Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,Residualsres.,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Reduction in Area,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Fracture Toughness,Shear Strength,Compressive (Crushing) Strength,Curie Temperature,Rockwell C Hardness,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Rockwell B Hardness,Calomel Potential,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
EN-1.8867-P355QH-Steel,190,25,0.29,73,540,360,250,1460,1420,470,48,13,7.3,8.4,2.4,7.9,1.6,21,48,120,340,13,24,19,19,13,16,96.3 to 100,0 to 0.5,0 to 1.5,0 to 0.25,0 to 0.4,0 to 0.3,0 to 0.16,0 to 0.3,0 to 0.060,0 to 0.025,0 to 0.010,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.030,0 to 0.050,160,260,NA,410,68,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8868-P355QL1-Steel,190,25,0.29,73,540,350,250,1460,1420,470,48,13,7.3,8.4,2.4,7.9,1.6,21,48,120,330,13,24,19,19,13,16,96.4 to 100,0 to 0.5,0 to 1.5,0 to 0.25,0 to 0.4,0 to 0.3,0 to 0.16,0 to 0.3,0 to 0.060,0 to 0.020,0 to 0.0080,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.030,0 to 0.050,160,260,NA,410,90,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8869-P355QL2-Steel,190,25,0.29,73,540,360,250,1460,1420,470,48,13,7.3,8.4,2.4,7.9,1.6,21,48,120,340,13,24,19,19,13,16,96.4 to 100,0 to 0.5,0 to 1.5,0 to 0.25,0 to 0.4,0 to 0.3,0 to 0.16,0 to 0.3,0 to 0.060,0 to 0.020,0 to 0.0050,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.030,0 to 0.050,160,260,NA,410,110,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8870-P460Q-Nickel-Steel,190,21,0.29,73,610,450,250,1460,1420,470,39,13,7.5,8.6,2.8,7.9,1.7,22,50,120,530,13,24,22,20,10,18,95.1 to 100,0 to 1.0,0 to 1.7,0 to 0.5,0 to 0.5,0 to 0.3,0 to 0.18,0 to 0.5,0 to 0.080,0 to 0.025,0 to 0.010,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.030,0 to 0.050,180,310,NA,410,67,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8871-P460QH-Nickel-Steel,190,22,0.29,73,610,460,250,1460,1420,470,39,13,7.5,8.6,2.8,7.9,1.7,22,50,120,550,13,24,22,20,10,18,95.1 to 100,0 to 1.0,0 to 1.7,0 to 0.5,0 to 0.5,0 to 0.3,0 to 0.18,0 to 0.5,0 to 0.080,0 to 0.025,0 to 0.010,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.030,0 to 0.050,180,320,NA,410,68,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8872-P460QL1-Nickel-Steel,190,21,0.29,73,610,450,250,1460,1420,470,39,13,7.5,8.6,2.8,7.9,1.7,22,50,120,530,13,24,22,20,10,18,95.1 to 100,0 to 1.0,0 to 1.7,0 to 0.5,0 to 0.5,0 to 0.3,0 to 0.18,0 to 0.5,0 to 0.080,0 to 0.020,0 to 0.0080,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.030,0 to 0.050,180,310,NA,410,90,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8873-P500Q-Nickel-Steel,190,19,0.29,73,660,490,250,1460,1420,470,39,13,7.8,8.9,3.2,7.9,1.8,24,52,110,650,13,24,23,21,10,19,93.6 to 100,0 to 1.5,0 to 1.7,0 to 0.7,0 to 0.6,0 to 0.3,0 to 0.18,0 to 1.0,0 to 0.080,0 to 0.025,0 to 0.010,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.050,0 to 0.15,200,340,NA,420,67,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8874-P500QH-Nickel-Steel,190,19,0.29,73,660,500,250,1460,1420,470,39,13,7.8,8.9,3.2,7.9,1.8,24,52,120,670,13,24,23,21,10,19,93.6 to 100,0 to 1.5,0 to 1.7,0 to 0.7,0 to 0.6,0 to 0.3,0 to 0.18,0 to 1.0,0 to 0.080,0 to 0.025,0 to 0.010,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.050,0 to 0.15,200,340,NA,420,68,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8875-P500QL1-Nickel-Steel,190,19,0.29,73,660,490,250,1460,1420,470,39,13,7.8,8.9,3.2,7.9,1.8,24,52,110,650,13,24,23,21,10,19,93.6 to 100,0 to 1.5,0 to 1.7,0 to 0.7,0 to 0.6,0 to 0.3,0 to 0.18,0 to 1.0,0 to 0.080,0 to 0.020,0 to 0.0080,NA,NA,0 to 0.050,0 to 0.015,NA,0 to 0.050,0 to 0.15,200,340,NA,420,90,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8879-P690Q-Nickel-Steel,190,16,0.29,73,830,710,260,1460,1420,470,40,13,8.1,9.3,3.7,7.8,1.9,26,54,120,1320,13,24,29,25,11,24,91.9 to 100,0 to 2.5,0 to 1.7,0 to 0.7,0 to 0.8,0 to 0.3,0 to 0.2,0 to 1.5,0 to 0.12,0 to 0.025,0 to 0.010,NA,2,0 to 0.060,0 to 0.015,NA,0 to 0.050,0 to 0.15,250,460,NA,420,67,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8880-P690QH-Nickel-Steel,190,16,0.29,73,830,720,260,1460,1420,470,40,13,8.1,9.3,3.7,7.8,1.9,26,54,130,1370,13,24,29,25,11,24,91.9 to 100,0 to 2.5,0 to 1.7,0 to 0.7,0 to 0.8,0 to 0.3,0 to 0.2,0 to 1.5,0 to 0.12,0 to 0.025,0 to 0.010,NA,2,0 to 0.060,0 to 0.015,NA,0 to 0.050,0 to 0.15,250,470,NA,420,68,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8881-P690QL1-Nickel-Steel,190,16,0.29,73,830,710,260,1460,1420,470,40,13,8.1,9.3,3.7,7.8,1.9,26,54,120,1320,13,24,29,25,11,24,91.9 to 100,0 to 2.5,0 to 1.7,0 to 0.7,0 to 0.8,0 to 0.3,0 to 0.2,0 to 1.5,0 to 0.12,0 to 0.020,0 to 0.0080,NA,2,0 to 0.060,0 to 0.015,NA,0 to 0.050,0 to 0.15,250,460,NA,420,90,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8888-P690QL2-Nickel-Steel,190,16,0.29,73,830,720,260,1460,1420,470,40,13,8.1,9.3,3.7,7.8,1.9,26,54,130,1370,13,24,29,25,11,24,91.9 to 100,0 to 2.5,0 to 1.7,0 to 0.7,0 to 0.8,0 to 0.3,0 to 0.2,0 to 1.5,0 to 0.12,0 to 0.020,0 to 0.0050,NA,2,0 to 0.060,0 to 0.015,NA,0 to 0.050,0 to 0.15,250,470,NA,420,110,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,0 to 0.0050,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8891-E460K2-Steel,190,19,0.29,73,610,480,250,1460,1420,470,46,13,7.5,8.6,2.5,7.8,1.7,24,51,110,630,13,24,22,20,12,18,95.2 to 99,0 to 0.8,1.0 to 1.7,0 to 0.1,0 to 0.6,0 to 0.7,0 to 0.2,0 to 0.3,0 to 0.2,0 to 0.035,0 to 0.030,NA,NA,0 to 0.050,0 to 0.025,0.020 to 0.060,0 to 0.030,NA,180,330,NA,400,40,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8893-E730K2-Steel,190,16,0.29,73,830,720,250,1460,1420,470,40,13,7.5,8.5,2.9,7.8,1.7,23,51,130,1370,13,24,29,25,11,24,95.6 to 98,0.3 to 0.7,1.4 to 1.7,0.3 to 0.45,0 to 0.5,0 to 0.2,0 to 0.2,0 to 0.3,0 to 0.12,0 to 0.025,0 to 0.025,NA,NA,0 to 0.050,0 to 0.020,0.020 to 0.060,0 to 0.050,NA,250,470,NA,410,38,NA,NA,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8895-E275M-Steel,190,26,0.29,73,400,300,250,1460,1420,470,49,13,7.2,8.3,2.2,7.8,1.6,21,47,96,240,13,24,14,15,13,12,97 to 99.98,0 to 0.3,0 to 1.5,0 to 0.2,0 to 0.5,NA,0 to 0.13,NA,0 to 0.080,0 to 0.035,0 to 0.030,NA,NA,0 to 0.050,0 to 0.020,0.020 to 0.060,0 to 0.050,NA,120,220,NA,400,46,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8896-E355M-Steel,190,24,0.29,73,510,390,250,1460,1420,470,49,13,7.2,8.3,2.2,7.8,1.6,21,47,110,400,13,24,18,18,13,15,97 to 99.98,0 to 0.3,0 to 1.5,0 to 0.2,0 to 0.5,NA,0 to 0.14,NA,0 to 0.1,0 to 0.035,0 to 0.030,NA,NA,0 to 0.050,0 to 0.020,0.020 to 0.060,0 to 0.050,NA,150,280,NA,400,45,NA,NA,NA,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8897-E420M-Steel,190,20,0.29,73,560,460,250,1460,1420,470,49,13,7.3,8.3,2.2,7.8,1.6,22,48,110,550,13,24,20,19,13,16,96.8 to 99.98,0 to 0.3,0 to 1.7,0 to 0.2,0 to 0.5,NA,0 to 0.16,NA,0 to 0.12,0 to 0.035,0 to 0.030,NA,NA,0 to 0.050,0 to 0.020,0.020 to 0.060,0 to 0.050,NA,170,320,NA,400,46,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8898-E460M-Steel,190,18,0.29,73,600,490,250,1460,1420,470,49,13,7.3,8.4,2.2,7.8,1.6,22,48,100,650,13,24,21,20,13,18,96.7 to 99.98,0 to 0.3,0 to 1.7,0 to 0.2,0 to 0.6,NA,0 to 0.16,NA,0 to 0.12,0 to 0.035,0 to 0.030,NA,NA,0 to 0.050,0 to 0.025,0.020 to 0.060,0 to 0.050,NA,180,330,NA,400,45,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8901-S460N-Steel,190,19,0.29,73,630,490,250,1460,1420,470,44,13,7.6,8.7,2.6,7.8,1.8,24,51,110,640,13,24,22,21,12,18,95 to 99.05,0 to 0.85,1.0 to 1.8,0 to 0.13,0 to 0.65,0 to 0.6,0 to 0.22,0 to 0.35,0 to 0.22,0 to 0.035,0 to 0.030,NA,NA,0 to 0.060,0 to 0.027,0 to 0.015,0 to 0.060,NA,190,340,NA,410,58,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8902-S420N-Steel,190,21,0.29,73,600,420,250,1460,1420,470,44,13,7.6,8.7,2.6,7.8,1.8,24,51,110,470,13,24,21,20,12,18,95 to 99.05,0 to 0.85,1.0 to 1.8,0 to 0.13,0 to 0.65,0 to 0.6,0 to 0.22,0 to 0.35,0 to 0.22,0 to 0.035,0 to 0.030,NA,NA,0 to 0.060,0 to 0.027,0 to 0.015,0 to 0.060,NA,180,290,NA,410,58,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8903-S460NL-Steel,190,19,0.29,73,630,480,250,1460,1420,470,46,13,7.6,8.7,2.6,7.8,1.8,24,51,110,620,13,24,22,21,12,18,95 to 99.05,0 to 0.85,1.0 to 1.8,0 to 0.13,0 to 0.65,0 to 0.6,0 to 0.22,0 to 0.35,0 to 0.22,0 to 0.030,0 to 0.025,NA,NA,0 to 0.060,0 to 0.027,0 to 0.015,0 to 0.060,NA,190,330,NA,410,58,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8912-S420NL-Steel,190,20,0.29,73,600,410,250,1460,1420,470,46,13,7.6,8.7,2.6,7.8,1.8,24,51,110,460,13,24,21,20,12,18,95 to 99.05,0 to 0.85,1.0 to 1.8,0 to 0.13,0 to 0.65,0 to 0.6,0 to 0.22,0 to 0.35,0 to 0.22,0 to 0.030,0 to 0.025,NA,NA,0 to 0.060,0 to 0.027,0 to 0.015,0 to 0.060,NA,180,290,NA,410,58,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8915-P460NL1-Steel,190,19,0.29,73,640,490,250,1460,1420,470,46,13,7.5,8.6,2.5,7.8,1.7,24,51,110,640,13,24,23,21,12,19,95.2 to 98.9,0 to 0.8,1.1 to 1.7,0 to 0.1,0 to 0.6,0 to 0.7,0 to 0.2,0 to 0.3,0 to 0.2,0 to 0.025,0 to 0.0080,NA,NA,0 to 0.050,0 to 0.025,0.020 to 0.050,0 to 0.030,NA,190,340,NA,400,79,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8918-P460NL2-Steel,190,19,0.29,73,640,490,250,1460,1420,470,46,13,7.5,8.6,2.5,7.8,1.7,24,51,110,640,13,24,23,21,12,19,95.2 to 98.9,0 to 0.8,1.1 to 1.7,0 to 0.1,0 to 0.6,0 to 0.7,0 to 0.2,0 to 0.3,0 to 0.2,0 to 0.020,0 to 0.0050,NA,NA,0 to 0.050,0 to 0.025,0.020 to 0.050,0 to 0.030,NA,190,330,NA,400,88,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8932-P420NH-Nickel-Steel,190,20,0.29,73,600,370,250,1460,1420,470,40,13,7.5,8.6,2.5,7.8,1.7,24,50,100,370,13,24,21,20,11,17,95.5 to 98.9,0 to 1.0,1.0 to 1.7,0 to 0.1,0.1 to 0.6,0 to 0.2,0 to 0.2,0 to 0.3,0 to 0.2,0 to 0.025,0 to 0.015,NA,NA,0 to 0.050,0 to 0.020,0 to 0.060,NA,NA,180,250,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8935-P460NH-Steel,190,19,0.29,73,640,490,250,1460,1420,470,46,13,7.5,8.6,2.5,7.8,1.7,24,51,110,640,13,24,23,21,12,19,95.2 to 98.9,0 to 0.8,1.1 to 1.7,0 to 0.1,0 to 0.6,0 to 0.7,0 to 0.2,0 to 0.3,0 to 0.2,0 to 0.025,0 to 0.010,NA,NA,0 to 0.050,0 to 0.025,0.020 to 0.050,0 to 0.030,NA,190,330,NA,400,71,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8936-P420QH-Nickel-Steel,190,20,0.29,73,600,370,250,1460,1420,470,40,13,7.5,8.6,2.5,7.8,1.7,24,50,100,370,13,24,21,20,11,17,95.5 to 98.9,0 to 1.0,1.0 to 1.7,0 to 0.1,0.1 to 0.6,0 to 0.2,0 to 0.2,0 to 0.3,0 to 0.2,0 to 0.025,0 to 0.015,NA,NA,0 to 0.050,0 to 0.020,0 to 0.060,NA,NA,180,250,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8945-S355J0WP-Weathering-Steel,190,16,0.29,73,580,390,250,1460,1420,470,42,13,7.5,8.7,2.5,7.8,1.5,19,51,82,410,13,24,20,20,11,17,95.1 to 99.5,0 to 0.7,0 to 1.1,NA,0 to 0.8,0.2 to 0.6,0 to 0.15,0.25 to 1.4,NA,0.050 to 0.16,0 to 0.040,NA,NA,NA,0 to 0.010,NA,NA,NA,170,260,NA,420,30,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8946-S355J2WP-Weathering-Steel,190,16,0.29,73,580,390,250,1460,1420,470,43,13,7.6,8.7,2.7,7.8,1.7,23,51,82,410,13,24,20,20,12,17,94.8 to 99.5,0 to 0.7,0 to 1.1,NA,0 to 0.8,0.2 to 0.6,0 to 0.15,0.25 to 1.4,0 to 0.14,0.050 to 0.16,0 to 0.035,NA,NA,0 to 0.065,NA,0 to 0.030,0 to 0.12,NA,170,260,NA,420,30,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8958-S235J0W-Weathering-Steel,190,19,0.29,73,430,220,250,1460,1420,470,46,13,7.3,8.4,2.4,7.9,1.5,19,50,70,130,13,24,15,16,12,13,96.5 to 99.3,0 to 0.7,0.15 to 0.7,NA,0 to 0.45,0.2 to 0.6,0 to 0.16,0.35 to 0.85,NA,0 to 0.040,0 to 0.040,NA,NA,NA,0 to 0.010,NA,NA,NA,130,150,NA,410,30,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8959-S355J0W-Weathering-Steel,190,16,0.29,73,570,340,250,1460,1420,470,39,13,7.6,8.7,2.7,7.8,1.6,21,52,78,300,13,24,20,19,10,17,94.9 to 99,0 to 0.7,0.45 to 1.6,0 to 0.35,0 to 0.55,0.2 to 0.6,0 to 0.19,0.35 to 0.85,NA,0 to 0.040,0 to 0.040,NA,NA,NA,0 to 0.010,NA,NA,0 to 0.17,170,220,NA,420,30,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8961-S235J2W-Weathering-Steel,190,19,0.29,73,430,220,250,1460,1420,470,45,13,7.4,8.5,2.6,7.8,1.7,23,50,70,130,13,24,15,16,12,13,96.1 to 99.3,0 to 0.7,0.15 to 0.7,NA,0 to 0.45,0.2 to 0.6,0 to 0.16,0.35 to 0.85,0 to 0.14,0 to 0.040,0 to 0.035,NA,NA,0 to 0.065,NA,0 to 0.030,0 to 0.12,NA,130,150,NA,410,30,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8965-S355J2W-Weathering-Steel,190,16,0.29,73,570,340,250,1460,1420,470,39,13,7.6,8.7,3,7.8,1.8,25,52,78,300,13,24,20,19,10,17,94.6 to 99,0 to 0.7,0.45 to 1.6,0 to 0.35,0 to 0.55,0.2 to 0.6,0 to 0.19,0.35 to 0.85,0 to 0.14,0 to 0.035,0 to 0.035,NA,NA,0 to 0.065,NA,0 to 0.030,0 to 0.12,0 to 0.17,170,220,NA,420,30,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.8967-S355K2W-Weathering-Steel,190,16,0.29,73,570,340,250,1460,1420,470,39,13,7.6,8.7,3,7.8,1.8,25,52,78,300,13,24,20,19,10,17,94.6 to 99,0 to 0.7,0.45 to 1.6,0 to 0.35,0 to 0.55,0.2 to 0.6,0 to 0.19,0.35 to 0.85,0 to 0.14,0 to 0.035,0 to 0.035,NA,NA,0 to 0.065,NA,0 to 0.030,0 to 0.12,0 to 0.17,170,220,NA,420,30,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-FDC-Spring-Steel,190,NA,0.29,80,1680,NA,250,1450,1410,470,51,13,7.1,8.2,1.9,7.8,1.4,19,47,NA,NA,13,24,60,40,14,50,98 to 99.4,NA,0.5 to 1.2,NA,0.1 to 0.35,0 to 0.12,0.6 to 0.75,0 to 0.3,NA,0 to 0.030,0 to 0.025,NA,NA,NA,NA,NA,NA,NA,510,NA,42,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-FDCrV-Spring-Steel,190,NA,0.29,80,1800,NA,250,1450,1410,470,48,13,7.1,8.2,2.1,7.8,1.9,26,49,NA,NA,13,24,64,42,13,53,97.8 to 98.8,NA,0.5 to 0.9,NA,0.15 to 0.3,0 to 0.12,0.62 to 0.72,0.4 to 0.6,0.15 to 0.25,0 to 0.030,0 to 0.025,NA,NA,NA,NA,NA,NA,NA,540,NA,42,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-FDSiCr-Spring-Steel,190,NA,0.29,80,1930,NA,270,1440,1400,480,48,13,7.3,8.5,2.2,7.7,1.5,20,48,NA,NA,13,25,69,44,13,58,96.5 to 97.8,NA,0.5 to 0.9,NA,1.2 to 1.6,0 to 0.12,0.5 to 0.6,0.5 to 0.8,NA,0 to 0.030,0 to 0.025,NA,NA,NA,NA,NA,NA,NA,580,NA,42,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-FDSiCrV-Spring-Steel,190,NA,0.29,80,2100,NA,270,1440,1400,480,47,13,7.4,8.6,2.3,7.7,1.9,26,50,NA,NA,13,25,75,47,13,63,96 to 97.8,NA,0.4 to 0.9,NA,1.2 to 1.7,0 to 0.12,0.5 to 0.7,0.5 to 1.0,0.1 to 0.25,0 to 0.030,0 to 0.025,NA,NA,NA,NA,NA,NA,NA,630,NA,42,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-TDC-Spring-Steel,190,NA,0.29,80,1700,NA,250,1450,1410,470,51,13,7.1,8.2,1.9,7.8,1.4,19,47,NA,NA,13,24,60,40,14,50,98 to 99.4,NA,0.5 to 1.2,NA,0.1 to 0.35,0 to 0.1,0.6 to 0.75,0 to 0.3,NA,0 to 0.020,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,510,NA,50,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-TDCrV-Spring-Steel,190,NA,0.29,80,1730,NA,250,1450,1410,470,49,13,7.1,8.2,2.1,7.8,1.9,26,49,NA,NA,13,24,61,41,13,51,97.8 to 98.8,NA,0.5 to 0.9,NA,0.15 to 0.3,0 to 0.1,0.62 to 0.72,0.4 to 0.6,0.15 to 0.25,0 to 0.025,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,520,NA,51,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-TDSiCr-Spring-Steel,190,NA,0.29,80,1950,NA,270,1440,1400,480,46,13,7.3,8.5,2.2,7.7,1.5,20,48,NA,NA,13,25,70,45,12,58,96.6 to 97.8,NA,0.5 to 0.9,NA,1.2 to 1.6,0 to 0.1,0.5 to 0.6,0.5 to 0.8,NA,0 to 0.025,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,590,NA,48,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-TDSiCrV-Spring-Steel,190,NA,0.29,80,2100,NA,270,1440,1400,480,47,13,7.4,8.6,2.3,7.7,1.9,26,50,NA,NA,13,25,75,47,13,63,96.1 to 97.8,NA,0.4 to 0.9,NA,1.2 to 1.7,0 to 0.1,0.5 to 0.7,0.5 to 1.0,0.1 to 0.25,0 to 0.020,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,630,NA,48,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-VDC-Spring-Steel,190,NA,0.29,80,1700,NA,250,1450,1410,470,51,13,7.1,8.1,1.9,7.8,1.4,19,47,NA,NA,13,24,60,40,14,50,98.3 to 99.35,NA,0.5 to 1.0,NA,0.15 to 0.3,0 to 0.060,0.6 to 0.75,0 to 0.3,NA,0 to 0.020,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,510,NA,50,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grade-VDCrV-Spring-Steel,190,NA,0.29,80,1730,NA,250,1450,1410,470,49,13,7.1,8.2,2.1,7.8,1.9,26,49,NA,NA,13,24,61,41,13,51,97.8 to 98.8,NA,0.5 to 0.9,NA,0.15 to 0.3,0 to 0.060,0.62 to 0.72,0.4 to 0.6,0.15 to 0.25,0 to 0.025,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,520,NA,51,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
