Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,Residualsres.,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Reduction in Area,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Fracture Toughness,Shear Strength,Compressive (Crushing) Strength,Curie Temperature,Rockwell C Hardness,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Rockwell B Hardness,Calomel Potential,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
AWS-ER80S-B8-or-ER55S-B8-S50480-Weld-Metal,190,19,0.28,75,630,530,270,1460,1410,470,26,13,8.1,9.3,6.5,7.8,2,28,89,120,720,14,25,22,21,6.9,17,85.6 to 90.8,0 to 0.5,0.4 to 0.7,0.8 to 1.2,0 to 0.5,0 to 0.35,0 to 0.1,8.0 to 10.5,NA,0 to 0.025,0 to 0.025,0 to 0.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-D2-or-ER55S-D2-K10945-Weld-Metal,190,19,0.29,73,620,540,260,1450,1410,470,47,13,7.4,8.5,2.6,7.8,1.6,21,50,110,770,13,24,22,21,13,18,95.2 to 97.4,0 to 0.15,1.6 to 2.1,0.4 to 0.6,0.5 to 0.8,0 to 0.5,0.070 to 0.12,NA,NA,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-Ni1-or-ER55S-Ni1-K11260-Weld-Metal,190,27,0.29,72,630,530,260,1450,1410,470,41,13,7.5,8.6,2.7,7.8,1.6,21,49,160,740,13,24,22,21,11,19,95.3 to 98.8,0.8 to 1.1,0 to 1.3,0 to 0.35,0.4 to 0.8,0 to 0.35,0 to 0.12,0 to 0.15,0 to 0.050,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-Ni2-or-ER55S-Ni2-K21240-Weld-Metal,190,27,0.29,72,620,540,260,1450,1410,470,52,13,7.5,8.6,3.4,7.8,1.6,22,51,160,770,13,24,22,21,14,18,94.2 to 97.6,2.0 to 2.8,0 to 1.3,NA,0.4 to 0.8,0 to 0.35,0 to 0.12,NA,NA,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-Ni3-or-ER55S-Ni3-K31240-Weld-Metal,190,27,0.29,72,630,530,260,1450,1410,470,51,13,7.4,8.5,4,7.8,1.7,23,52,160,740,13,24,22,21,14,19,93.2 to 96.6,3.0 to 3.8,0 to 1.3,NA,0.4 to 0.8,0 to 0.35,0 to 0.12,NA,NA,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER90S-B3-or-ER62S-B3-K30960-Weld-Metal,190,19,0.29,73,690,620,260,1460,1420,470,40,13,7.7,8.9,4.1,7.8,1.8,24,60,130,1000,13,24,25,22,11,20,93.5 to 95.9,0 to 0.2,0.4 to 0.7,0.9 to 1.2,0.4 to 0.7,0 to 0.35,0.070 to 0.12,2.3 to 2.7,NA,0 to 0.025,0 to 0.025,0 to 0.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER90S-B9-or-ER62S-B9-S50482-Weld-Metal,190,18,0.28,75,690,470,270,1450,1410,470,25,13,7,8.1,7,7.8,2.6,37,91,110,570,14,25,25,22,6.9,19,84.4 to 90.7,0 to 0.8,0 to 1.2,0.85 to 1.2,0.15 to 0.5,0 to 0.2,0.070 to 0.13,8.0 to 10.5,0.15 to 0.3,0 to 0.010,0 to 0.010,0 to 0.5,13,0.020 to 0.1,0.030 to 0.070,0 to 0.040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER90S-D2-or-ER62S-D2-Weld-Metal,190,19,0.29,73,710,600,260,1450,1410,470,47,13,7.4,8.5,2.6,7.8,1.6,21,50,130,980,13,24,25,23,13,21,95.2 to 97.4,0 to 0.15,1.6 to 2.1,0.4 to 0.6,0.5 to 0.8,0 to 0.5,0.070 to 0.12,NA,NA,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTM-A356-Grade-10-J22090-Cast-Steel,190,23,0.29,74,670,430,260,1470,1430,470,39,13,7.6,8.8,3.9,7.9,1.8,23,59,130,480,13,24,24,22,11,19,94.4 to 96.6,NA,0.5 to 0.8,0.9 to 1.2,0 to 0.6,NA,0 to 0.2,2.0 to 2.8,NA,0 to 0.035,0 to 0.030,NA,5.9,NA,NA,NA,NA,NA,200,300,39,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTM-A356-Grade-2-J12523-Cast-Steel,190,25,0.29,73,510,270,250,1470,1430,470,51,13,7.1,8.2,2.4,7.9,1.5,20,47,110,190,13,24,18,18,14,15,97.7 to 99.55,NA,0 to 0.7,0.45 to 0.65,0 to 0.6,NA,0 to 0.25,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,150,200,39,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
