,Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Shear Strength,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
1165,EN-1.3542-X65Cr14-Stainless-Bearing-Steel,190.0,,0.28,76.0,720.0,,270,1440,1390,480,29.0,10.0,3.1,3.6,7.5,7.7,2.0,29,100,,,14.0,25.0,26.0,23.0,7.9,26.0,85.1,0.0,0.5,0.375,0.5,0.0,0.6499999999999999,13.5,0.0,0.02,0.015,15.0,0.0,0.0,0.0,0.0,0.0,220.0,,770.0,,0.0,380.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,EN-1.3543-X108CrMo17-Stainless-Bearing-Steel,200.0,,0.28,76.0,730.0,,280,1430,1390,480,22.0,10.0,2.5,3.0,9.0,7.7,2.3,32,120,,,14.0,25.0,27.0,24.0,6.1,26.0,81.35,0.0,0.5,0.6000000000000001,0.5,0.0,1.1,17.0,0.0,0.02,0.015,19.0,0.0,0.0,0.0,0.0,0.0,220.0,,870.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,EN-1.3549-X89CrMoV18-1-Stainless-Bearing-Steel,200.0,,0.28,77.0,730.0,,280,1430,1390,480,21.0,10.0,2.3,2.7,10.0,7.7,2.6,37,130,,,14.0,25.0,27.0,24.0,5.6,26.0,79.75,0.0,0.5,1.1,0.5,0.0,0.925,18.0,0.095,0.02,0.015,22.0,0.0,0.0,0.0,0.0,0.0,220.0,,910.0,,0.0,400.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,EN-1.4005-X12CrS13-Stainless-Steel,190.0,17.0,0.28,76.0,690.0,435.0,270,1440,1400,480,30.0,10.0,2.9,3.3,7.0,7.7,2.0,28,100,100.0,500.0,14.0,25.0,25.0,22.5,8.1,25.0,85.1,0.0,0.75,0.3,0.5,0.0,0.105,13.0,0.0,0.02,0.25,14.0,0.0,0.0,0.0,0.0,0.0,,265.0,760.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1169,EN-1.4006-X12Cr13-Stainless-Steel,190.0,19.5,0.28,76.0,670.0,370.0,270,1440,1400,480,30.0,11.0,2.9,3.3,7.0,7.7,1.9,27,100,104.5,400.0,14.0,25.0,24.0,22.0,8.1,23.5,85.75,0.375,0.75,0.0,0.5,0.0,0.11499999999999999,12.5,0.0,0.02,0.0075,13.0,0.0,0.0,0.0,0.0,0.0,,225.0,740.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,EN-1.4021-X20Cr13-Stainless-Steel,190.0,14.0,0.28,76.0,755.0,530.0,270,1440,1400,480,30.0,11.0,2.9,3.3,7.0,7.7,1.9,27,100,99.0,780.0,14.0,25.0,27.0,23.5,8.1,26.5,85.5,0.0,0.75,0.0,0.5,0.0,0.20500000000000002,13.0,0.0,0.02,0.0075,13.0,0.0,0.0,0.0,0.0,0.0,,310.0,760.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,EN-1.4024-X15Cr13-Stainless-Steel,190.0,18.5,0.28,76.0,670.0,420.0,270,1440,1400,480,30.0,11.0,2.9,3.3,7.0,7.7,1.9,27,100,104.0,470.0,14.0,25.0,24.0,22.0,8.1,23.5,85.85,0.0,0.5,0.0,0.5,0.0,0.14500000000000002,13.0,0.0,0.02,0.0075,13.0,0.0,0.0,0.0,0.0,0.0,,260.0,760.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,EN-1.4028-X30Cr13-Stainless-Steel,190.0,14.0,0.28,76.0,795.0,560.0,270,1440,1400,480,30.0,11.0,2.8,3.2,7.0,7.7,1.9,27,100,95.0,870.0,14.0,25.0,28.5,24.5,8.1,27.5,85.4,0.0,0.75,0.0,0.5,0.0,0.305,13.0,0.0,0.02,0.0075,13.0,0.0,0.0,0.0,0.0,0.0,,315.0,760.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173,EN-1.4029-X29CrS13-Stainless-Steel,190.0,15.0,0.28,76.0,815.0,575.0,270,1440,1400,480,30.0,10.0,3.1,3.7,7.0,7.7,2.0,28,100,104.5,925.0,14.0,25.0,29.0,25.0,8.1,30.0,85.19999999999999,0.0,0.75,0.3,0.5,0.0,0.28500000000000003,12.75,0.0,0.02,0.2,14.0,0.0,0.0,0.0,0.0,0.0,,335.0,750.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1174,EN-1.4031-X39Cr13-Stainless-Steel,190.0,12.0,0.28,76.0,785.0,560.0,280,1440,1400,480,30.0,11.0,3.1,3.7,7.0,7.7,1.9,27,100,85.5,870.0,14.0,25.0,28.0,24.5,8.1,27.5,85.05,0.0,0.5,0.0,0.5,0.0,0.39,13.5,0.0,0.02,0.0075,14.0,0.0,0.0,0.0,0.0,0.0,,310.0,770.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1175,EN-1.4034-X46Cr13-Stainless-Steel,190.0,12.5,0.28,76.0,795.0,560.0,270,1440,1390,480,30.0,11.0,3.1,3.7,7.0,7.7,2.0,27,100,87.5,885.0,14.0,25.0,28.5,24.5,8.1,28.0,85.05,0.0,0.5,0.0,0.5,0.0,0.46499999999999997,13.5,0.0,0.02,0.0075,14.0,0.0,0.0,0.0,0.0,0.0,,315.0,770.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
