,Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Shear Strength,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
20,AWS-ER120S-1-or-ER83S-1-K21030-Weld-Metal,190.0,17.0,0.29,73.0,930.0,830.0,260,1460,1410,470,46.0,13.0,7.8,9.0,4.2,7.8,1.9,25,56,150.0,1850.0,13.0,24.0,33.0,27.0,13.0,27.0,94.25,2.4,1.6,0.475,0.425,0.125,0.05,0.3,0.015,0.005,0.005,5.928571428571428,0.0,0.0,0.05,0.05,0.05,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,AWS-ER70S-A1-or-ER49S-A1-K11235-Weld-Metal,190.0,22.0,0.29,73.0,590.0,450.0,260,1460,1420,470,50.0,13.0,7.2,8.3,2.5,7.8,1.5,20,48,120.0,540.0,13.0,24.0,21.0,20.0,14.0,17.0,97.69999999999999,0.1,0.65,0.525,0.5,0.175,0.06,0.0,0.0,0.0125,0.0125,4.514285714285714,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AWS-ER70S-B2L-or-ER49S-B2L-K20500-Weld-Metal,190.0,22.0,0.29,73.0,590.0,450.0,260,1460,1420,470,40.0,13.0,7.5,8.6,3.0,7.8,1.6,21,54,120.0,530.0,13.0,24.0,21.0,20.0,11.0,17.0,96.44999999999999,0.1,0.55,0.525,0.55,0.175,0.025,1.35,0.0,0.0125,0.0125,3.1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AWS-ER80S-B2-or-ER55S-B2-K20900-Weld-Metal,190.0,21.0,0.29,73.0,620.0,540.0,260,1460,1420,470,40.0,13.0,7.5,8.6,3.0,7.8,1.6,21,54,130.0,760.0,13.0,24.0,22.0,21.0,11.0,18.0,96.35,0.1,0.55,0.525,0.55,0.175,0.095,1.35,0.0,0.0125,0.0125,3.1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AWS-ER80S-B3L-or-ER55S-B3L-K30560-Weld-Metal,190.0,19.0,0.29,74.0,630.0,530.0,260,1460,1420,470,41.0,13.0,7.7,8.9,4.1,7.8,1.8,23,60,120.0,730.0,13.0,24.0,22.0,21.0,11.0,18.0,94.8,0.1,0.55,1.05,0.55,0.175,0.025,2.5,0.0,0.0125,0.0125,6.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AWS-ER80S-B6-or-ER55S-B6-S50280-Weld-Metal,190.0,19.0,0.29,74.0,620.0,540.0,260,1460,1410,470,40.0,13.0,8.2,9.5,4.7,7.8,1.8,24,71,110.0,750.0,14.0,25.0,22.0,21.0,11.0,18.0,92.65,0.3,0.55,0.55,0.25,0.175,0.05,5.25,0.0,0.0125,0.0125,7.1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AWS-ER80S-B8-or-ER55S-B8-S50480-Weld-Metal,190.0,19.0,0.28,75.0,630.0,530.0,270,1460,1410,470,26.0,13.0,8.1,9.3,6.5,7.8,2.0,28,89,120.0,720.0,14.0,25.0,22.0,21.0,6.9,17.0,88.19999999999999,0.25,0.55,1.0,0.25,0.175,0.05,9.25,0.0,0.0125,0.0125,13.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AWS-ER80S-D2-or-ER55S-D2-K10945-Weld-Metal,190.0,19.0,0.29,73.0,620.0,540.0,260,1450,1410,470,47.0,13.0,7.4,8.5,2.6,7.8,1.6,21,50,110.0,770.0,13.0,24.0,22.0,21.0,13.0,18.0,96.30000000000001,0.075,1.85,0.5,0.65,0.25,0.095,0.0,0.0,0.0125,0.0125,11.6,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,AWS-ER80S-Ni1-or-ER55S-Ni1-K11260-Weld-Metal,190.0,27.0,0.29,72.0,630.0,530.0,260,1450,1410,470,41.0,13.0,7.5,8.6,2.7,7.8,1.6,21,49,160.0,740.0,13.0,24.0,22.0,21.0,11.0,19.0,97.05,0.9500000000000001,0.65,0.175,0.6000000000000001,0.175,0.06,0.075,0.025,0.0125,0.0125,10.2,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,AWS-ER80S-Ni2-or-ER55S-Ni2-K21240-Weld-Metal,190.0,27.0,0.29,72.0,620.0,540.0,260,1450,1410,470,52.0,13.0,7.5,8.6,3.4,7.8,1.6,22,51,160.0,770.0,13.0,24.0,22.0,21.0,14.0,18.0,95.9,2.4,0.65,0.0,0.6000000000000001,0.175,0.06,0.0,0.0,0.0125,0.0125,8.8,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
